player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,221/474,.466,106/132,.803,46,159,.289,594,251,216,40,23,89,93,9
敢不敢不要比命中率,454.l.130312.t.5,242/539,.449,120/159,.755,62,190,.326,666,238,130,36,23,75,90,11
Rob Pelinka,454.l.130312.t.2,262/563,.465,105/127,.827,94,240,.392,723,212,169,49,14,90,93,7
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,235/468,.502,116/139,.835,61,175,.349,647,208,177,32,25,86,84,6
彥廷's Groovy Team,454.l.130312.t.3,225/451,.499,82/92,.891,92,243,.379,624,220,164,48,25,66,99,5
太陽神,454.l.130312.t.9,266/515,.517,148/186,.796,59,165,.358,739,267,190,33,25,80,95,13
衛冕軍準備一輪遊,454.l.130312.t.4,245/508,.482,111/134,.828,86,221,.389,687,223,169,41,30,69,84,4
幫你煎,454.l.130312.t.12,275/602,.457,99/128,.773,96,262,.366,745,219,121,45,27,84,97,3
Rickybelegend,454.l.130312.t.6,267/549,.486,102/129,.791,63,169,.373,699,247,129,44,35,69,89,8
安俞真我寶貝,454.l.130312.t.8,214/469,.456,82/96,.854,67,193,.347,577,213,149,32,43,97,82,2
INJURIES Team,454.l.130312.t.7,251/548,.458,120/141,.851,94,246,.382,716,241,110,37,40,88,99,7
安叮叮康阿吉,454.l.130312.t.10,267/554,.482,113/136,.831,57,192,.297,704,252,172,48,27,96,81,7
